created_datetime,favorites_count,retweet_count,tweet_id,user_favorites,user_followers
2017-08-01 16:23:56,38616,8542,892420643555336193,135431,7079294
2017-08-01 00:17:27,33102,6280,892177421306343426,135431,7079294
2017-07-31 00:18:03,24924,4161,891815181378084864,135431,7079294
2017-07-30 15:58:51,42017,8668,891689557279858688,135431,7079294
2017-07-29 16:00:24,40162,9419,891327558926688256,135431,7079294
2017-07-29 00:08:17,20142,3118,891087950875897856,135431,7079294
2017-07-28 16:27:12,11805,2075,890971913173991426,135431,7079294
2017-07-28 00:22:40,65247,18925,890729181411237888,135431,7079294
2017-07-27 16:25:51,27675,4273,890609185150312448,135431,7079294
2017-07-26 15:59:51,31815,7434,890240255349198849,135431,7079294
2017-07-26 00:31:25,30559,7351,890006608113172480,135431,7079294
2017-07-25 16:11:53,27668,4980,889880896479866881,135431,7079294
2017-07-25 01:55:32,47928,10079,889665388333682689,135431,7079294
2017-07-25 00:10:02,27061,4552,889638837579907072,135431,7079294
2017-07-24 17:02:04,15037,2241,889531135344209921,135431,7079294
2017-07-24 00:19:32,25183,5428,889278841981685760,135431,7079294
2017-07-23 00:22:39,28965,4508,888917238123831296,135431,7079294
2017-07-22 16:56:37,25480,4355,888804989199671297,135431,7079294
2017-07-22 00:23:06,19820,3589,888554962724278272,135431,7079294
2017-07-20 16:49:33,21675,3500,888078434458587136,135431,7079294
2017-07-19 16:06:48,30062,5404,887705289381826560,135431,7079294
2017-07-19 03:39:09,46053,11692,887517139158093824,135431,7079294
2017-07-19 00:47:34,68832,18255,887473957103951883,135431,7079294
2017-07-18 16:08:03,33542,10421,887343217045368832,135431,7079294
2017-07-18 00:07:08,30421,5972,887101392804085760,135431,7079294
2017-07-17 16:17:36,35018,7786,886983233522544640,135431,7079294
2017-07-16 23:58:41,12015,3297,886736880519319552,135431,7079294
2017-07-16 20:14:00,22322,4470,886680336477933568,135431,7079294
2017-07-15 23:25:31,21111,3200,886366144734445568,135431,7079294
2017-07-15 16:51:35,116,4,886267009285017600,135431,7079294
2017-07-15 16:17:19,27866,6292,886258384151887873,135431,7079294
2017-07-15 02:45:48,0,104,886054160059072513,135431,7079294
2017-07-14 22:10:11,32577,6813,885984800019947520,135431,7079294
2017-07-13 15:58:47,35851,6432,885528943205470208,135431,7079294
2017-07-13 15:19:09,20342,3760,885518971528720385,135431,7079294
2017-07-13 01:35:06,0,18595,885311592912609280,135431,7079294
2017-07-12 16:03:00,21863,4384,885167619883638784,135431,7079294
2017-07-12 00:01:00,77244,18444,884925521741709313,135431,7079294
2017-07-11 20:47:12,27828,5793,884876753390489601,135431,7079294
2017-07-11 00:00:02,24205,4868,884562892145688576,135431,7079294
2017-07-10 15:58:53,26876,5650,884441805382717440,135431,7079294
2017-07-10 03:08:17,72703,20453,884247878851493888,135431,7079294
2017-07-09 21:29:42,20306,2985,884162670584377345,135431,7079294
2017-07-09 00:00:04,21814,3442,883838122936631299,135431,7079294
2017-07-08 00:28:19,45765,9964,883482846933004288,135431,7079294
2017-07-07 16:22:55,22484,3678,883360690899218434,135431,7079294
2017-07-07 00:17:54,37083,6674,883117836046086144,135431,7079294
2017-07-06 15:58:11,23862,3918,882992080364220416,135431,7079294
2017-07-06 00:46:41,28206,4923,882762694511734784,135431,7079294
2017-07-05 15:48:34,27787,6097,882627270321602560,135431,7079294
2017-07-04 16:01:23,44803,11604,882268110199369728,135431,7079294
2017-07-04 01:18:17,29249,4986,882045870035918850,135431,7079294
2017-07-03 16:04:48,24216,3401,881906580714921986,135431,7079294
2017-07-03 00:11:11,50383,10682,881666595344535552,135431,7079294
2017-07-02 21:58:53,128,7,881633300179243008,135431,7079294
2017-07-02 15:32:16,49266,16006,881536004380872706,135431,7079294
2017-07-01 21:49:04,22995,5168,881268444196462592,135431,7079294
2017-06-30 23:47:07,16945,2785,880935762899988482,135431,7079294
2017-06-30 19:35:32,21219,3828,880872448815771648,135431,7079294
2017-06-29 16:39:47,28417,6292,880465832366813184,135431,7079294
2017-06-29 00:27:25,26975,4243,880221127280381952,135431,7079294
2017-06-28 16:09:20,27532,4369,880095782870896641,135431,7079294
2017-06-28 00:42:13,22242,3505,879862464715927552,135431,7079294
2017-06-27 12:14:36,311,10,879674319642796034,135431,7079294
2017-06-27 00:10:17,23327,3190,879492040517615616,135431,7079294
2017-06-26 19:07:24,105527,44296,879415818425184262,135431,7079294
2017-06-26 16:31:08,16716,3128,879376492567855104,135431,7079294
2017-06-26 00:13:58,0,6857,879130579576475649,135431,7079294
2017-06-25 18:56:45,22513,4728,879050749262655488,135431,7079294
2017-06-25 16:07:47,18909,2701,879008229531029506,135431,7079294
2017-06-25 00:45:22,19350,4148,878776093423087618,135431,7079294
2017-06-24 13:24:20,30169,7247,878604707211726852,135431,7079294
2017-06-24 00:09:53,0,1299,878404777348136964,135431,7079294
2017-06-23 18:17:33,0,6674,878316110768087041,135431,7079294
2017-06-23 16:00:04,7737,1299,878281511006478336,135431,7079294
2017-06-23 01:10:23,41902,6857,878057613040115712,135431,7079294
2017-06-22 03:54:17,79651,19201,877736472329191424,135431,7079294
2017-06-21 19:36:23,0,81,877611172832227328,135431,7079294
2017-06-21 15:58:08,22690,3832,877556246731214848,135431,7079294
2017-06-21 00:06:44,27296,5190,877316821321428993,135431,7079294
2017-06-20 16:29:50,27053,5620,877201837425926144,135431,7079294
2017-06-19 16:24:33,20611,3369,876838120628539392,135431,7079294
2017-06-18 20:30:39,23392,4637,876537666061221889,135431,7079294
2017-06-18 16:57:37,18715,2410,876484053909872640,135431,7079294
2017-06-17 16:52:05,27849,4710,876120275196170240,135431,7079294
2017-06-16 16:11:53,25134,4317,875747767867523072,135431,7079294
2017-06-15 00:13:52,21865,4952,875144289856114688,135431,7079294
2017-06-14 21:06:43,27361,6070,875097192612077568,135431,7079294
2017-06-14 16:04:48,25433,4745,875021211251597312,135431,7079294
2017-06-13 17:29:20,27791,4680,874680097055178752,135431,7079294
2017-06-13 01:14:41,0,14867,874434818259525634,135431,7079294
2017-06-12 16:06:11,26030,4137,874296783580663808,135431,7079294
2017-06-12 00:15:36,22622,3977,874057562936811520,135431,7079294
2017-06-11 21:18:31,34624,10543,874012996292530176,135431,7079294
2017-06-10 16:39:04,24224,3974,873580283840344065,135431,7079294
2017-06-10 00:35:19,0,1601,873337748698140672,135431,7079294
2017-06-09 16:22:42,7244,1601,873213775632977920,135431,7079294
2017-06-09 00:02:31,27376,5455,872967104147763200,135431,7079294
2017-06-08 14:20:41,14719,3722,872820683541237760,135431,7079294
2017-06-08 01:06:27,20790,3744,872620804844003328,135431,7079294
2017-06-07 16:14:40,40711,9094,872486979161796608,135431,7079294
2017-06-07 01:19:32,34266,6401,872261713294495745,135431,7079294
2017-06-06 16:07:15,34488,8216,872122724285648897,135431,7079294
2017-06-06 00:01:46,38109,11343,871879754684805121,135431,7079294
2017-06-05 16:15:56,20295,3515,871762521631449091,135431,7079294
2017-06-04 23:56:03,20251,3498,871515927908634625,135431,7079294
2017-06-04 00:46:17,0,5771,871166179821445120,135431,7079294
2017-06-03 20:33:19,20986,5574,871102520638267392,135431,7079294
2017-06-03 15:55:36,22715,3858,871032628920680449,135431,7079294
2017-06-03 00:48:22,33748,6310,870804317367881728,135431,7079294
2017-06-02 19:38:25,120,3,870726314365509632,135431,7079294
2017-06-02 15:00:16,12478,2686,870656317836468226,135431,7079294
2017-06-01 20:18:38,83022,26653,870374049280663552,135431,7079294
2017-06-01 16:00:09,21920,4224,870308999962521604,135431,7079294
2017-05-31 23:43:25,36873,8507,870063196459192321,135431,7079294
2017-05-31 04:27:59,42646,10228,869772420881756160,135431,7079294
2017-05-30 23:51:58,28414,6442,869702957897576449,135431,7078980
2017-05-30 16:49:31,16082,3195,869596645499047938,135431,7079294
2017-05-29 16:24:37,20588,3862,869227993411051520,135431,7079294
